scenario,cell_id,load_transfer_status,action,escalated
S01_dependent_route_revoked,cell_dep,SUCCESS,BOUNDED_DEGRADED_OPERATION,False
S02_independent_route_preserved,cell_failed_ind,SUCCESS,BOUNDED_DEGRADED_OPERATION,False
S04_invalid_evidence,cell_invalid_evidence,not_authorized,FAIL_CLOSED,False
S05_betrayed_authority_writes_scar,cell_betrayed,SUCCESS,BOUNDED_DEGRADED_OPERATION,False
S11_load_transfer_success,cell_load_success,SUCCESS,BOUNDED_DEGRADED_OPERATION,False
S12_load_transfer_failure,cell_load_failure,FAILED,ESCALATE_BROADER_RECOVERY,True
