scenario,fingerprint,scar_class,event_decision,scar_written,written_fingerprint
S01_hard_scar_inherited,f0efc44ba53c3df416d0e5d5006ea9eee84de78c28ec1e25ad83d69a570d3f00,HARD,REJECT_AS_IS,False,
S02_soft_scar_inherited,5f0a1e24a7483a8a61562891b4649d0f196377be60459f4842b7b65f0395fc26,SOFT,REQUIRE_EXTRA_PROOF,False,
S03_restoration_scar_inherited,a14e5ce065875c0b636ea268e31680d1d182cd9f8fde4f90fef1eaf9f605c463,RESTORATION,REQUIRE_EXTRA_PROOF,False,
S04_no_scar_match,5de44a7e7c646f6d1b31b8fb4a9c2cca877c33438786c4db85e855bdf85010b7,NONE,NO_SCAR_MATCH,False,
S12_narrower_proven_overlap,cae94ce6713eb6ba594b1a8cecd538f204d3e5c15270427ef8a63e7808c077d5,NONE,NO_SCAR_MATCH,False,
S13_no_direct_active,6a5a844cb1ac8ab4c7d3d59b5f7d68937027fbd82b2b3039f71df988f5fdad6a,NONE,NO_SCAR_MATCH,False,
S14_partial_requalification_failure,40c6b40124abe77e179c7b1385cd3958878613aa1275ecb28ac314d015a72a8c,NONE,NO_SCAR_NO_AUTHORITY,False,
S15_post_authority_child_failure,c373a637174835cdf4851e85a3cf70dc1cba9fd63a966e27921b13ce04c18471,HARD,WRITE_CHILD_SCAR,True,c373a637174835cdf4851e85a3cf70dc1cba9fd63a966e27921b13ce04c18471
S17_isolation_checks,5b558c1dddbe4cf79bbec241520ec8e31d9656ff86c42d2052935cc3ba992d1e,SOFT,REQUIRE_EXTRA_PROOF,False,
