scenario_id,seed,task_key,task_index,time_ms,pattern_id,phase,route_class,route_quality,candidate_admissible,candidate_latency_ms,candidate_cost,relapse_phase,deformation_onset_ms,deformation_clear_ms,arch,latency_ms,admissible,bypassed,wrong_bypass,fallback,executed_cost,route_allowed_before_shape,shape_blocked,route_gate_reason,first_blocking_gate,c_success_before,c_success_after,depreciation_state_before,depreciation_state,structural_cost_state,requalify_count,shadow_outcome_score,fresh_requalify_confidence,requalified_at_ms,promotion_completed_this_task,shape_allowed,shape_classification,shape_integrity_state,shape_authority_state,shape_first_failed_invariant,shape_all_failed_invariants,shape_raw_soft_warnings,shape_record_age_ms,shape_verification_pass,shape_epoch_match,shape_scope_match,shape_restore_count,shape_restoration_active,shape_restoration_requirement_satisfied,shape_reconstruction_triggered,shape_record_id,window_type
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4270,4270,85400.0,0,recovery,PERSISTENT_FAILURE,0.1,False,27.05343070333983,0.8,PERSISTENT_FAILURE,85000.0,85200.0,D_TETRAHEDRAL_GATE,37.01357167469165,True,False,False,True,1.0,False,False,depreciation,depreciation,0.670000000027174,0.670000000027174,DEPRECATED,DEPRECATED,0.3,0,,,,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],0.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|854,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4271,4271,85420.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,10.132942889355661,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,10.132942889355661,True,True,False,False,0.3,True,False,NONE,NONE,0.983821593100847,0.9838483539540923,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],20.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|854,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4272,4272,85440.0,7,recovery,BORDERLINE_RELAPSE,0.92,True,12.435199798215763,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,12.435199798215763,True,True,False,False,0.3,True,False,NONE,NONE,0.9838904355006796,0.9839068701072502,ACTIVE,ACTIVE,0.3,5,,,80980.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],40.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|854,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4273,4273,85460.0,3,recovery,CONTROL,1.0,True,6.604935483619354,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,6.604935483619354,True,True,False,False,0.3,True,False,NONE,NONE,0.999345278173247,0.9994434860680117,ACTIVE,ACTIVE,0.3,5,,,80740.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],60.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|854,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4274,4274,85480.0,1,recovery,CONTROL,1.0,True,12.66789683053345,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,12.66789683053345,True,True,False,False,0.3,True,False,NONE,NONE,0.9982640295076206,0.9985244248384424,ACTIVE,ACTIVE,0.3,5,,,80860.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],80.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|854,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4275,4275,85500.0,3,recovery,CONTROL,1.0,True,7.306088566518524,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,7.306088566518524,True,True,False,False,0.3,True,False,NONE,NONE,0.9994434860680117,0.9995269627900325,ACTIVE,ACTIVE,0.3,5,,,80740.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],0.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|855,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4276,4276,85520.0,0,recovery,PERSISTENT_FAILURE,0.1,False,29.286430523351182,0.8,PERSISTENT_FAILURE,85000.0,85200.0,D_TETRAHEDRAL_GATE,34.793715111421015,True,False,False,True,1.0,False,False,depreciation,depreciation,0.670000000027174,0.670000000027174,DEPRECATED,DEPRECATED,0.3,0,,,,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],20.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|855,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4277,4277,85540.0,5,recovery,BORDERLINE_RELAPSE,0.92,True,11.992209747793671,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,11.992209747793671,True,True,False,False,0.3,True,False,NONE,NONE,0.9838483539540923,0.9838711007155837,ACTIVE,ACTIVE,0.3,5,,,80820.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],40.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|855,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4278,4278,85560.0,6,recovery,BORDERLINE_RELAPSE,0.92,True,13.47885071531221,0.3,CLEAN_TEST,85000.0,85200.0,D_TETRAHEDRAL_GATE,13.47885071531221,True,True,False,False,0.3,True,False,NONE,NONE,0.9833452781732472,0.9834434860680119,ACTIVE,ACTIVE,0.3,5,,,81440.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],60.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|855,RESTORATION
D1_TRANSIENT_SOFT_IMBALANCE,42,D1_TRANSIENT_SOFT_IMBALANCE|42|4279,4279,85580.0,4,recovery,CONTROL,1.0,True,5.164287576894095,0.3,CONTROL,85000.0,85200.0,D_TETRAHEDRAL_GATE,5.164287576894095,True,True,False,False,0.3,True,False,NONE,NONE,0.9998215931008468,0.9998483539540921,ACTIVE,ACTIVE,0.3,5,,,80900.0,False,True,ADMISSIBLE,ADMISSIBLE,AUTHORIZED,,[],[],80.0,True,True,True,0,False,True,False,shape|D1_TRANSIENT_SOFT_IMBALANCE|42|obs|855,RESTORATION
